League Name,Team Name,Team ID,Exclude?,,,,,,,,
Australian A-League Men,Sydney FC,1205121,,,,,Inter,,,"""Inter""","[""Burgos"",""Cittadella"",""Andorra CF"",""Sport Recife"",""Malaga"",""Cruzeiro MG"",""Basaksehir"",""Incheon"",""Wanderers (Uru)"",""Varzim"",""Elche"",""Fortaleza EC"",""Reggina"",""Fluminense"",""Valladolid"",""Empoli"",""Frosinone"",""Penarol"",""Besiktas"",""Cerro Largo"",""Espanyol"",""Mallorca"",""Gwangju"",""Perugia"",""Reggiana"",""Girona"",""Inter"""
Australian A-League Men,Wellington Phoenix,2469649,,,,,Fiorentina,,,"""Fiorentina""","[""Burgos"",""Cittadella"",""Andorra CF"",""Sport Recife"",""Malaga"",""Cruzeiro MG"",""Basaksehir"",""Incheon"",""Wanderers (Uru)"",""Varzim"",""Elche"",""Fortaleza EC"",""Reggina"",""Fluminense"",""Valladolid"",""Empoli"",""Frosinone"",""Penarol"",""Besiktas"",""Cerro Largo"",""Espanyol"",""Mallorca"",""Gwangju"",""Perugia"",""Reggiana"",""Girona"",""Inter"",""Fiorentina"""
Australian A-League Men,Western Sydney Wanderers,6480414,,,,,Lecce,,,"""Lecce""","[""Burgos"",""Cittadella"",""Andorra CF"",""Sport Recife"",""Malaga"",""Cruzeiro MG"",""Basaksehir"",""Incheon"",""Wanderers (Uru)"",""Varzim"",""Elche"",""Fortaleza EC"",""Reggina"",""Fluminense"",""Valladolid"",""Empoli"",""Frosinone"",""Penarol"",""Besiktas"",""Cerro Largo"",""Espanyol"",""Mallorca"",""Gwangju"",""Perugia"",""Reggiana"",""Girona"",""Inter"",""Fiorentina"",""Lecce"""
Austrian Bundesliga,Austria Wien,181248,,,,,Cuiaba,,,"""Cuiaba""","[""Burgos"",""Cittadella"",""Andorra CF"",""Sport Recife"",""Malaga"",""Cruzeiro MG"",""Basaksehir"",""Incheon"",""Wanderers (Uru)"",""Varzim"",""Elche"",""Fortaleza EC"",""Reggina"",""Fluminense"",""Valladolid"",""Empoli"",""Frosinone"",""Penarol"",""Besiktas"",""Cerro Largo"",""Espanyol"",""Mallorca"",""Gwangju"",""Perugia"",""Reggiana"",""Girona"",""Inter"",""Fiorentina"",""Lecce"",""Cuiaba"""
Austrian Bundesliga,FC Blau Weiss Linz,9481404,,,,,Granada,,,"""Granada""","[""Burgos"",""Cittadella"",""Andorra CF"",""Sport Recife"",""Malaga"",""Cruzeiro MG"",""Basaksehir"",""Incheon"",""Wanderers (Uru)"",""Varzim"",""Elche"",""Fortaleza EC"",""Reggina"",""Fluminense"",""Valladolid"",""Empoli"",""Frosinone"",""Penarol"",""Besiktas"",""Cerro Largo"",""Espanyol"",""Mallorca"",""Gwangju"",""Perugia"",""Reggiana"",""Girona"",""Inter"",""Fiorentina"",""Lecce"",""Cuiaba"",""Granada"""
Austrian Bundesliga,Grazer AK,14074,,,,,Tenerife,,,"""Tenerife""","[""Burgos"",""Cittadella"",""Andorra CF"",""Sport Recife"",""Malaga"",""Cruzeiro MG"",""Basaksehir"",""Incheon"",""Wanderers (Uru)"",""Varzim"",""Elche"",""Fortaleza EC"",""Reggina"",""Fluminense"",""Valladolid"",""Empoli"",""Frosinone"",""Penarol"",""Besiktas"",""Cerro Largo"",""Espanyol"",""Mallorca"",""Gwangju"",""Perugia"",""Reggiana"",""Girona"",""Inter"",""Fiorentina"",""Lecce"",""Cuiaba"",""Granada"",""Tenerife"""
Austrian Bundesliga,Hartberg,345648,,,,,Alcorcon,,,"""Alcorcon""","[""Burgos"",""Cittadella"",""Andorra CF"",""Sport Recife"",""Malaga"",""Cruzeiro MG"",""Basaksehir"",""Incheon"",""Wanderers (Uru)"",""Varzim"",""Elche"",""Fortaleza EC"",""Reggina"",""Fluminense"",""Valladolid"",""Empoli"",""Frosinone"",""Penarol"",""Besiktas"",""Cerro Largo"",""Espanyol"",""Mallorca"",""Gwangju"",""Perugia"",""Reggiana"",""Girona"",""Inter"",""Fiorentina"",""Lecce"",""Cuiaba"",""Granada"",""Tenerife"",""Alcorcon"""
Austrian Bundesliga,LASK Linz,8587663,,,,,Spezia,,,"""Spezia""","[""Burgos"",""Cittadella"",""Andorra CF"",""Sport Recife"",""Malaga"",""Cruzeiro MG"",""Basaksehir"",""Incheon"",""Wanderers (Uru)"",""Varzim"",""Elche"",""Fortaleza EC"",""Reggina"",""Fluminense"",""Valladolid"",""Empoli"",""Frosinone"",""Penarol"",""Besiktas"",""Cerro Largo"",""Espanyol"",""Mallorca"",""Gwangju"",""Perugia"",""Reggiana"",""Girona"",""Inter"",""Fiorentina"",""Lecce"",""Cuiaba"",""Granada"",""Tenerife"",""Alcorcon"",""Spezia"""
Austrian Bundesliga,RZ Pellets WAC,6491604,,,,,Cerrito,,,"""Cerrito""","[""Burgos"",""Cittadella"",""Andorra CF"",""Sport Recife"",""Malaga"",""Cruzeiro MG"",""Basaksehir"",""Incheon"",""Wanderers (Uru)"",""Varzim"",""Elche"",""Fortaleza EC"",""Reggina"",""Fluminense"",""Valladolid"",""Empoli"",""Frosinone"",""Penarol"",""Besiktas"",""Cerro Largo"",""Espanyol"",""Mallorca"",""Gwangju"",""Perugia"",""Reggiana"",""Girona"",""Inter"",""Fiorentina"",""Lecce"",""Cuiaba"",""Granada"",""Tenerife"",""Alcorcon"",""Spezia"",""Cerrito"""
Austrian Bundesliga,Rapid Vienna,65350,,,,,UD Logrones,,,"""UD Logrones""","[""Burgos"",""Cittadella"",""Andorra CF"",""Sport Recife"",""Malaga"",""Cruzeiro MG"",""Basaksehir"",""Incheon"",""Wanderers (Uru)"",""Varzim"",""Elche"",""Fortaleza EC"",""Reggina"",""Fluminense"",""Valladolid"",""Empoli"",""Frosinone"",""Penarol"",""Besiktas"",""Cerro Largo"",""Espanyol"",""Mallorca"",""Gwangju"",""Perugia"",""Reggiana"",""Girona"",""Inter"",""Fiorentina"",""Lecce"",""Cuiaba"",""Granada"",""Tenerife"",""Alcorcon"",""Spezia"",""Cerrito"",""UD Logrones"""
